Cep;Latitude;Longitude;UF;Cidade
57604050;-9,4120373;-36,6322917;AL;PALMEIRA DOS ÍNDIOS
57604052;-9,4163834;-36,6391089;AL;PALMEIRA DOS ÍNDIOS
57604054;-9,422344;-36,6415146;AL;PALMEIRA DOS ÍNDIOS
57604056;-9,4098879;-36,6451006;AL;PALMEIRA DOS ÍNDIOS
57604058;-9,4120373;-36,6322917;AL;PALMEIRA DOS ÍNDIOS
57604060;-9,4120373;-36,6322917;AL;PALMEIRA DOS ÍNDIOS
57604062;-9,4158469;-36,6231047;AL;PALMEIRA DOS ÍNDIOS
57604064;-9,4197459;-36,6284756;AL;PALMEIRA DOS ÍNDIOS
57604066;-9,4120373;-36,6322917;AL;PALMEIRA DOS ÍNDIOS
57604068;-9,4120373;-36,6322917;AL;PALMEIRA DOS ÍNDIOS
57604070;-9,4120373;-36,6322917;AL;PALMEIRA DOS ÍNDIOS
57604072;-9,4193203;-36,6452745;AL;PALMEIRA DOS ÍNDIOS
57604074;-9,421531;-36,6390081;AL;PALMEIRA DOS ÍNDIOS
57604076;-9,4191218;-36,6324908;AL;PALMEIRA DOS ÍNDIOS
57604078;-9,4098422;-36,621072;AL;PALMEIRA DOS ÍNDIOS
57604080;-9,4163834;-36,6391089;AL;PALMEIRA DOS ÍNDIOS
57604082;-9,4277672;-36,6263677;AL;PALMEIRA DOS ÍNDIOS
57604084;-9,4140757;-36,6188473;AL;PALMEIRA DOS ÍNDIOS
57604086;-9,4140757;-36,6188473;AL;PALMEIRA DOS ÍNDIOS
57604088;-9,4082314;-36,629553;AL;PALMEIRA DOS ÍNDIOS
57604090;-9,4120373;-36,6322917;AL;PALMEIRA DOS ÍNDIOS
57604092;-9,4120373;-36,6322917;AL;PALMEIRA DOS ÍNDIOS
